105年02月01日大盤統計資訊
指數,收盤指數,漲跌(+/-),漲跌點數,漲跌百分比(%)
="030537",統一N3,"51,000",2,"30,560",0.56,0.60,0.56,0.60,X,0.00,0.66,20,0.72,10,394.50
03053X,元展50,0,0,0,--,--,--,--,,0.00,5.30,10,5.40,20,99.90
03054X,元展51,0,0,0,--,--,--,--,,0.00,9.45,10,9.55,10,69.90
="030557",3X元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,415,38.40
03055X,元展52,0,0,0,--,--,--,--,,0.00,6.15,10,6.25,10,54.60
03057X,ML展02,"26,000",3,"60,900",2.36,2.37,2.30,2.37,,0.00,2.37,25,2.41,10,10.80
03058X,元展53,"4,000",1,"80,400",20.10,20.10,20.10,20.10,X,0.00,20.20,10,20.30,4,144.00
03059X,元展54,0,0,0,--,--,--,--,,0.00,8.90,10,9.00,10,18.70
03060X,元展55,0,0,0,--,--,--,--,,0.00,7.65,10,7.75,10,71.90
03061X,元展56,0,0,0,--,--,--,--,,0.00,26.70,10,27.00,10,103.00
03062X,元展57,"2,000",2,"29,100",14.40,14.70,14.40,14.70,＋,0.60,14.40,10,14.60,10,477.00
="030636",統一N4,"577,000",15,"5,770",0.01,0.01,0.01,0.01,X,0.00,0.01,10,0.03,73,144.00
03063X,元展58,"110,000",19,"1,899,700",17.40,18.00,15.50,15.50,－,1.80,15.20,10,15.50,9,"2,350.00"
03064X,元展59,0,0,0,--,--,--,--,,0.00,5.75,100,5.80,10,12.05
03065X,元展60,"1,000",1,"13,200",13.20,13.20,13.20,13.20,X,0.00,13.60,10,13.70,10,27.25
03066X,元展61,"24,000",1,"110,160",4.59,4.59,4.59,4.59,X,0.00,4.53,10,4.55,10,8.85
="030679",4V元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,330,252.00
03067X,元展62,"7,000",6,"55,700",8.00,8.10,7.80,7.80,－,0.35,7.80,10,7.90,10,64.30
03068X,元展63,"1,000",1,"16,000",16.00,16.00,16.00,16.00,－,0.40,15.60,10,15.80,10,128.00
03069X,元展64,0,0,0,--,--,--,--,,0.00,13.40,10,13.50,10,53.60
03070X,元展65,0,0,0,--,--,--,--,,0.00,9.00,10,9.05,10,39.70
03071X,元展66,"115,000",10,"1,232,400",11.40,11.40,10.60,10.60,－,0.80,10.50,11,10.60,10,210.00
03072X,元展67,"3,000",2,"26,850",9.00,9.00,8.85,8.85,－,0.40,8.85,10,8.90,10,76.50
03073X,元展68,"115,000",10,"2,605,400",23.10,23.10,20.90,20.90,－,1.40,20.50,2,20.70,10,"2,350.00"
="030784",5V元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,421,74.20
="030815",05統一,"10,000",1,200,0.02,0.02,0.02,0.02,＋,0.01,0.01,519,0.02,2331,74.20
="030872",6C元富,0,0,0,--,--,--,--,,0.00,--,0,0.01,250,17.30
="030907",12統一,"253,000",10,"14,840",0.07,0.07,0.05,0.07,－,0.01,0.06,3,0.07,420,"2,350.00"
="031047",國泰JH,0,0,0,--,--,--,--,,0.00,--,0,0.02,99,55.50
="031074",群益JC,"20,000",1,"29,200",1.46,1.46,1.46,1.46,＋,0.01,1.46,25,1.50,10,20.09
="031075",群益JD,"123,000",12,"168,090",1.33,1.41,1.33,1.38,＋,0.06,1.36,10,1.37,10,20.09
="031158",中信5Q,0,0,0,--,--,--,--,,0.00,--,0,0.01,550,74.20
="031161",HD凱基,0,0,0,--,--,--,--,,0.00,0.51,30,0.61,30,20.09
="031196",8B元富,0,0,0,--,--,--,--,,0.00,--,0,--,0,17.27
="031231",8D元富,0,0,0,--,--,--,--,,0.00,0.05,3,0.08,41,76.50
="031438",國票AG,0,0,0,--,--,--,--,,0.00,0.03,499,0.04,20,144.00
="031473",32統一,0,0,0,--,--,--,--,,0.00,0.01,10,0.09,1,17.10
="031475",D6元大,"78,000",9,"165,130",2.08,2.16,2.08,2.15,＋,0.13,2.09,495,2.10,495,20.09
="031506",中信5V,0,0,0,--,--,--,--,,0.00,--,0,0.01,727,74.20
="031552",日盛AC,0,0,0,--,--,--,--,,0.00,0.01,25,0.02,25,37.00
="031573",KN富邦,"568,000",6,"5,680",0.01,0.01,0.01,0.01,,0.00,0.01,10,0.04,255,79.50
="031583",9U元富,"52,000",4,"5,420",0.10,0.11,0.10,0.10,＋,0.04,0.06,30,0.10,3,76.50
="031606",中信6K,0,0,0,--,--,--,--,,0.00,--,0,0.01,110,252.00
="031644",KX富邦,0,0,0,--,--,--,--,,0.00,--,0,0.10,50,8.00
="031739",50統一,0,0,0,--,--,--,--,,0.00,0.04,10,0.06,20,28.45
="031748",59統一,0,0,0,--,--,--,--,,0.00,0.01,10,0.05,150,"2,350.00"
03177B,元熊I1,0,0,0,--,--,--,--,,0.00,3.15,495,3.16,495,"8,156.96"
03178B,元熊18,0,0,0,--,--,--,--,,0.00,5.30,495,5.35,495,913.64
="031801",LN富邦,0,0,0,--,--,--,--,,0.00,--,0,--,0,"2,350.00"
="031803",LQ富邦,0,0,0,--,--,--,--,,0.00,--,0,0.01,635,"2,350.00"
03180B,元熊J1,"28,000",3,"87,290",3.13,3.15,3.10,3.10,＋,0.02,3.10,495,3.11,495,"8,156.96"
="031838",國泰LB,"100,000",1,"13,000",0.13,0.13,0.13,0.13,,0.00,0.11,499,0.12,30,55.50
03184B,元熊AU,0,0,0,--,--,--,--,,0.00,3.46,495,3.54,10,59.55
03185B,元熊L1,0,0,0,--,--,--,--,,0.00,4.18,495,4.19,495,"8,156.96"
03186B,元熊M1,0,0,0,--,--,--,--,,0.00,4.20,495,4.21,495,"8,156.96"
03187B,元熊AV,"10,000",1,"36,100",3.61,3.61,3.61,3.61,,0.00,3.57,495,3.62,100,59.55
="031884",D4元富,"200,000",3,"16,000",0.08,0.08,0.08,0.08,＋,0.02,0.04,35,0.08,26,"2,350.00"
03190B,元熊38,"14,000",2,"60,660",4.33,4.34,4.33,4.34,＋,0.13,4.29,495,4.30,70,913.64
03192B,元熊X1,"141,000",6,"185,500",1.29,1.34,1.29,1.30,＋,0.04,1.28,495,1.29,495,"8,156.96"
="031937",中信7Q,0,0,0,--,--,--,--,,0.00,--,0,--,0,53.60
03193B,兆熊HN,"1,000",1,"1,350",1.35,1.35,1.35,1.35,＋,0.08,--,0,1.37,8,"8,156.96"
